Title,Genre,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales
Gran Turismo 5 Prologue,Racing,PS3,4.20m,1.28m,1.83m,0.57m,0.52m
Magic: The Gathering - Battlegrounds,Strategy,PC,N/A,N/A,N/A,N/A,N/A
Need for Speed (2015),Racing,PS4,2.72m,0.59m,1.66m,0.06m,0.41m
Need for Speed (2015),Racing,XOne,0.74m,0.35m,0.33m,N/A,0.06m
Need for Speed (2015),Racing,PC,0.05m,N/A,0.05m,N/A,0.00m
Drawn to Life: The Next Chapter,Puzzle,Wii,0.75m,0.28m,0.39m,N/A,0.08m
LittleBigPlanet 2,Platform,PS3,3.43m,1.83m,1.07m,0.06m,0.47m
Mario Kart 8,Racing,WiiU,7.69m,3.22m,2.55m,1.39m,0.54m
WWE SmackDown! Here Comes the Pain,Fighting,PS2,2.80m,1.32m,1.06m,0.04m,0.38m
Lego Marvel Super Heroes,Action,X360,2.34m,1.26m,0.87m,N/A,0.21m
Lego Marvel Super Heroes,Action,PS3,1.96m,0.77m,0.85m,0.01m,0.32m
Lego Marvel Super Heroes,Action,PS4,1.91m,0.59m,1.00m,0.01m,0.30m
Lego Marvel Super Heroes,Action,XOne,1.15m,0.61m,0.44m,N/A,0.10m
Lego Marvel Super Heroes,Action,WiiU,0.76m,0.31m,0.36m,0.03m,0.06m
Lego Marvel Super Heroes,Action,PC,0.17m,0.04m,0.12m,N/A,0.01m
Star Ocean: Till The End of Time,Role-Playing,PS2,1.72m,0.80m,0.21m,0.55m,0.15m
Star Ocean: Till The End of Time,Role-Playing,PS4,N/A,N/A,N/A,N/A,N/A
The Banner Saga Trilogy - Bonus Edition,Strategy,PS4,0.07m,0.06m,N/A,N/A,0.01m
The Banner Saga Trilogy - Bonus Edition,Strategy,XOne,0.05m,0.05m,N/A,N/A,0.01m
Tom Clancy's Ghost Recon 2,Shooter,PS2,1.08m,0.64m,0.34m,N/A,0.10m
Grand Theft Auto: San Andreas,Action,PS2,20.81m,9.43m,0.40m,0.41m,10.57m
Grand Theft Auto: San Andreas,Action,PC,0.97m,0.00m,0.93m,N/A,0.04m
Grand Theft Auto: San Andreas,Misc,PS3,0.01m,N/A,0.01m,N/A,0.00m
XCOM: Enemy Unknown,Strategy,PC,0.72m,0.28m,0.37m,N/A,0.07m
XCOM: Enemy Unknown,Sports,X360,0.63m,0.36m,0.22m,N/A,0.06m
XCOM: Enemy Unknown,Strategy,PS3,0.59m,0.25m,0.24m,N/A,0.10m
Uncharted: Drake's Fortune,Action,PS3,4.97m,2.32m,1.73m,0.12m,0.80m
Assassin's Creed: Brotherhood,Action,X360,3.53m,2.87m,0.39m,0.03m,0.25m
Assassin's Creed: Brotherhood,Action,PS3,2.85m,1.87m,0.57m,0.11m,0.30m
Assassin's Creed: Brotherhood,Action,PC,0.59m,0.16m,0.34m,N/A,0.09m
Kingdom Hearts II,Role-Playing,PS2,4.33m,2.20m,0.58m,1.38m,0.17m
Need for Speed: Hot Pursuit,Racing,PS3,2.81m,1.05m,1.24m,0.03m,0.49m
Need for Speed: Hot Pursuit,Racing,X360,2.20m,1.03m,0.96m,0.00m,0.21m
Need for Speed: Hot Pursuit,Racing,Wii,0.46m,0.17m,0.24m,0.00m,0.05m
Need for Speed: Hot Pursuit,Racing,PC,0.37m,0.12m,0.20m,N/A,0.05m
Armored Core V,Simulation,PS3,0.40m,0.09m,0.04m,0.24m,0.02m
Armored Core V,Simulation,X360,0.22m,0.13m,0.03m,0.04m,0.01m
The Simpsons Game,Platform,PS2,1.51m,0.35m,0.03m,N/A,1.13m
The Simpsons Game,Platform,X360,1.04m,0.54m,0.39m,N/A,0.11m
The Simpsons Game,Platform,Wii,1.01m,0.45m,0.46m,N/A,0.11m
The Simpsons Game,Platform,PS3,0.89m,0.38m,0.36m,N/A,0.14m
Lego Batman 3: Beyond Gotham,Action,PS4,0.94m,0.37m,0.42m,N/A,0.16m
Lego Batman 3: Beyond Gotham,Action,X360,0.94m,0.48m,0.37m,N/A,0.08m
Lego Batman 3: Beyond Gotham,Action,PS3,0.84m,0.34m,0.36m,N/A,0.14m
Lego Batman 3: Beyond Gotham,Action,WiiU,0.45m,0.21m,0.21m,N/A,0.04m
Lego Batman 3: Beyond Gotham,Action,XOne,0.44m,0.24m,0.17m,N/A,0.04m
Lego Batman 3: Beyond Gotham,Action,PC,0.06m,N/A,0.06m,N/A,0.00m
FIFA 18,Sports,PS4,11.80m,1.27m,8.64m,0.15m,1.73m
FIFA 18,Sports,XOne,3.14m,0.98m,1.92m,N/A,0.23m
FIFA 18,Sports,NS,1.10m,0.35m,0.55m,0.13m,0.07m
FIFA 18,Sports,PS3,0.54m,0.06m,0.40m,0.01m,0.08m
FIFA 18,Sports,X360,0.26m,0.05m,0.19m,N/A,0.02m
FIFA 18,Sports,PC,0.08m,N/A,0.08m,N/A,0.00m
Injustice: Gods Among Us Ultimate Edition,Fighting,PS4,0.98m,0.46m,0.35m,N/A,0.17m
Halo Wars,Strategy,X360,2.67m,1.58m,0.80m,0.04m,0.25m
Sonic Heroes,Platform,PS2,2.96m,1.04m,1.37m,0.06m,0.49m
Sonic Heroes,Platform,PC,0.00m,N/A,0.00m,N/A,0.00m
BLOK DROP U,Puzzle,WiiU,N/A,N/A,N/A,N/A,N/A
Overwatch,Shooter,PS4,4.54m,1.84m,1.80m,0.17m,0.73m
Overwatch,Shooter,XOne,2.72m,1.63m,0.84m,N/A,0.25m
Overwatch,Shooter,PC,0.92m,0.37m,0.48m,N/A,0.07m
Overwatch,Shooter,NS,N/A,N/A,N/A,N/A,N/A
Mario Party 10,Misc,WiiU,2.00m,0.82m,0.75m,0.29m,0.14m
Dynasty Warriors 8: Xtreme Legends,Misc,PS4,0.31m,0.09m,0.12m,0.06m,0.04m
Dynasty Warriors 8: Xtreme Legends,Misc,PS3,0.16m,0.02m,0.02m,0.11m,0.01m
Dynasty Warriors 8: Xtreme Legends,Action,PC,N/A,N/A,N/A,N/A,N/A
Minecraft: Story Mode - Season Two,Adventure,XOne,0.27m,0.17m,0.08m,N/A,0.02m
Minecraft: Story Mode - Season Two,Adventure,PS4,0.11m,0.09m,N/A,0.00m,0.02m
Minecraft: Story Mode - Season Two,Adventure,X360,0.08m,0.05m,0.02m,N/A,0.01m
Minecraft: Story Mode - Season Two,Adventure,PC,0.02m,N/A,0.02m,N/A,0.00m
Minecraft: Story Mode - Season Two,Adventure,NS,0.02m,0.02m,N/A,N/A,0.00m
Just Dance Wii U,Misc,WiiU,0.09m,N/A,N/A,0.09m,N/A
Scribblenauts: Unlimited,Puzzle,WiiU,0.38m,0.25m,0.10m,N/A,0.04m
Scribblenauts: Unlimited,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
The Getaway,Action,PS2,3.54m,1.23m,1.77m,0.05m,0.49m
Chimparty,Party,PS4,N/A,N/A,N/A,N/A,N/A
The LEGO Movie Videogame,Action-Adventure,X360,1.32m,0.69m,0.51m,N/A,0.11m
The LEGO Movie Videogame,Action-Adventure,PS3,0.98m,0.33m,0.47m,0.03m,0.16m
The LEGO Movie Videogame,Action-Adventure,PS4,0.71m,0.26m,0.32m,0.01m,0.11m
The LEGO Movie Videogame,Action-Adventure,WiiU,0.66m,0.33m,0.24m,0.03m,0.05m
The LEGO Movie Videogame,Action-Adventure,XOne,0.65m,0.42m,0.17m,N/A,0.06m
The LEGO Movie Videogame,Action-Adventure,PC,0.06m,0.02m,0.04m,N/A,0.00m
Harvest Moon: Magical Melody,Simulation,Wii,0.29m,0.23m,0.04m,N/A,0.02m
Madagascar,Platform,PS2,1.31m,0.78m,0.45m,N/A,0.07m
Madagascar,Platform,PC,0.00m,N/A,0.00m,N/A,N/A
Viva Pinata: Trouble in Paradise,Simulation,X360,0.47m,0.16m,0.25m,0.01m,0.05m
The Lord of the Rings: The Two Towers,Action,PS2,4.67m,1.94m,1.95m,0.08m,0.70m
Code: Realize - Bouquet of Rainbows,Visual Novel,PS4,0.03m,0.02m,N/A,N/A,0.01m
Singstar: Ultimate Party,Music,PS4,0.19m,N/A,0.16m,N/A,0.03m
Singstar: Ultimate Party,Music,PS3,0.09m,N/A,0.08m,N/A,0.01m
LEGO Worlds,Misc,PS4,1.14m,0.21m,0.72m,0.04m,0.17m
LEGO Worlds,Misc,XOne,0.69m,0.28m,0.35m,N/A,0.05m
LEGO Worlds,Misc,NS,0.58m,0.21m,0.33m,0.00m,0.04m
LEGO Worlds,Misc,PC,N/A,N/A,N/A,N/A,N/A
Command & Conquer: Red Alert 3 Ultimate Edition,Strategy,PS3,0.35m,0.14m,0.16m,N/A,0.06m
Taiko no Tatsujin: Wii U Version!,Music,WiiU,0.19m,N/A,N/A,0.19m,N/A
"SpongeBob SquarePants: Lights, Camera, Pants!",Misc,PS2,0.44m,0.37m,0.01m,N/A,0.06m
"SpongeBob SquarePants: Lights, Camera, Pants!",Misc,PC,0.00m,N/A,0.00m,N/A,0.00m
Fallout 3,Role-Playing,X360,4.96m,3.41m,0.99m,0.09m,0.46m
Fallout 3,Role-Playing,PS3,4.00m,2.18m,1.15m,0.07m,0.61m
Fallout 3,Role-Playing,PC,0.98m,0.02m,0.88m,N/A,0.07m
Zumba Fitness 2,Sports,Wii,2.83m,1.52m,1.05m,N/A,0.26m
Puyo Puyo Tetris,Puzzle,NS,0.55m,0.22m,0.18m,0.12m,0.04m
Puyo Puyo Tetris,Puzzle,PS4,0.10m,0.05m,0.03m,N/A,0.02m
Puyo Puyo Tetris,Puzzle,PS3,0.05m,N/A,N/A,0.05m,N/A
Puyo Puyo Tetris,Puzzle,WiiU,0.02m,N/A,N/A,0.02m,N/A
Puyo Puyo Tetris,Puzzle,XOne,N/A,N/A,N/A,N/A,N/A
Tales of Symphonia,Role-Playing,PS2,N/A,N/A,N/A,N/A,N/A
Halo: Reach,Shooter,X360,9.97m,7.08m,2.01m,0.08m,0.80m
Ryse: Son of Rome,Action,XOne,1.47m,0.84m,0.49m,0.00m,0.13m
Ryse: Son of Rome,Action,PC,0.00m,N/A,0.00m,N/A,0.00m
echochrome ii,Puzzle,PS3,N/A,N/A,N/A,N/A,N/A
Link's Crossbow Training,Shooter,Wii,4.98m,3.05m,1.17m,0.29m,0.46m
Sega Genesis Classics,Misc,PS4,0.35m,0.08m,0.21m,N/A,0.05m
Sega Genesis Classics,Misc,NS,0.18m,0.10m,0.06m,N/A,0.02m
Sega Genesis Classics,Misc,XOne,0.10m,0.06m,0.03m,N/A,0.01m
Jeopardy!,Misc,Wii,0.59m,0.55m,N/A,N/A,0.04m
Jeopardy!,Misc,PS2,0.48m,0.24m,0.18m,N/A,0.06m
Jeopardy!,Misc,PC,N/A,N/A,N/A,N/A,N/A
Jeopardy!,Party,WiiU,N/A,N/A,N/A,N/A,N/A
Lips: Number One Hits,Music,X360,0.55m,0.15m,0.34m,N/A,0.06m
Dying Light,Action,PS4,2.45m,1.18m,0.74m,0.13m,0.40m
Dying Light,Action,XOne,1.47m,1.01m,0.31m,0.01m,0.14m
Dying Light,Action,PC,0.24m,0.16m,0.06m,N/A,0.02m
Dying Light,Action,X360,N/A,N/A,N/A,N/A,N/A
Dying Light,Action,PS3,N/A,N/A,N/A,N/A,N/A
I C REDD,Strategy,WiiU,N/A,N/A,N/A,N/A,N/A
Yoshi's Woolly World,Platform,WiiU,1.52m,0.74m,0.53m,0.12m,0.12m
Star Wars The Clone Wars: Lightsaber Duels,Action,Wii,1.65m,1.21m,0.30m,N/A,0.14m
The Godfather II,Adventure,X360,0.79m,0.47m,0.23m,0.01m,0.08m
The Godfather II,Adventure,PS3,0.74m,0.41m,0.21m,0.01m,0.10m
The Godfather II,Adventure,PC,0.00m,N/A,0.00m,N/A,0.00m
Tom Clancy's Ghost Recon,Shooter,PS2,1.94m,1.42m,0.40m,N/A,0.12m
Tom Clancy's Ghost Recon,Shooter,Wii,0.12m,0.10m,0.01m,N/A,0.01m
Tom Clancy's Ghost Recon,Shooter,PC,N/A,N/A,N/A,N/A,N/A
Star Wars: Clone Wars,Shooter,PS2,0.50m,0.24m,0.19m,N/A,0.06m
FIFA 14,Sports,PS3,6.61m,0.79m,4.77m,0.07m,0.98m
FIFA 14,Sports,X360,4.15m,0.94m,2.92m,0.01m,0.29m
FIFA 14,Sports,PS4,3.43m,0.62m,2.18m,0.12m,0.51m
FIFA 14,Sports,XOne,1.31m,0.44m,0.78m,N/A,0.10m
FIFA 14,Sports,Wii,0.42m,N/A,0.40m,N/A,0.02m
FIFA 14,Sports,PC,0.38m,0.01m,0.35m,N/A,0.02m
FIFA 14,Sports,PS2,N/A,N/A,N/A,N/A,N/A
Tekken Tag Tournament,Fighting,PS2,4.05m,1.68m,1.51m,0.51m,0.35m
Kinect Adventures!,Party,X360,22.10m,15.09m,4.97m,0.24m,1.81m
Wii Fit,Sports,Wii,22.70m,8.92m,8.03m,3.60m,2.15m
NBA 2K16,Sports,PS4,3.98m,2.56m,0.66m,0.05m,0.71m
NBA 2K16,Sports,XOne,2.41m,2.01m,0.15m,N/A,0.25m
NBA 2K16,Sports,X360,1.01m,0.86m,0.05m,N/A,0.11m
NBA 2K16,Sports,PS3,0.79m,0.49m,0.12m,0.05m,0.13m
NBA 2K16,Sports,PC,0.12m,0.05m,0.07m,N/A,0.01m
Forza Motorsport 7,Racing,XOne,1.52m,0.58m,0.81m,0.01m,0.12m
Forza Motorsport 7,Racing,PC,N/A,N/A,N/A,N/A,N/A
Mario & Sonic at the London 2012 Olympic Games,Sports,Wii,3.72m,1.12m,1.90m,0.27m,0.43m
Prince of Persia: The Sands of Time,Adventure,PS2,2.22m,0.88m,1.03m,N/A,0.31m
Prince of Persia: The Sands of Time,Adventure,PC,0.00m,N/A,0.00m,N/A,0.00m
Farming 2017 - The Simulation,Simulation,PC,0.03m,N/A,0.03m,N/A,0.00m
Farming 2017 - The Simulation,Simulation,PS4,0.01m,N/A,0.01m,N/A,0.00m
Farming 2017 - The Simulation,Simulation,XOne,0.00m,N/A,0.00m,N/A,0.00m
Farming 2017 - The Simulation,Simulation,PS3,N/A,N/A,N/A,N/A,N/A
Farming 2017 - The Simulation,Simulation,WiiU,N/A,N/A,N/A,N/A,N/A
Battle of Giants: Dinosaurs Strike,Strategy,Wii,0.19m,0.14m,0.03m,N/A,0.01m
Sonic the Hedgehog (2006),Platform,PS3,1.16m,0.41m,0.06m,0.04m,0.66m
Sonic the Hedgehog (2006),Platform,X360,0.94m,0.39m,0.45m,N/A,0.11m
NCAA Football 06,Sports,PS2,1.84m,1.53m,0.05m,N/A,0.25m
Katamari Damacy,Puzzle,PS2,0.73m,0.47m,0.02m,0.17m,0.08m
Final Fantasy XIII-2,Role-Playing,PS3,2.66m,0.78m,0.75m,0.89m,0.23m
Final Fantasy XIII-2,Role-Playing,X360,0.73m,0.36m,0.29m,0.02m,0.06m
Final Fantasy XIII-2,Role-Playing,PC,N/A,N/A,N/A,N/A,N/A
The Walking Dead: Season One,Adventure,XOne,0.16m,0.08m,0.06m,N/A,0.01m
Grand Theft Auto: The Trilogy,Adventure,PS2,1.14m,N/A,0.51m,N/A,0.62m
Grand Theft Auto: The Trilogy,Adventure,PC,0.03m,N/A,0.02m,N/A,0.00m
Grand Theft Auto: The Trilogy,Misc,X360,N/A,N/A,N/A,N/A,N/A
Skylanders Imaginators,Platform,WiiU,0.45m,0.19m,0.22m,N/A,0.04m
Skylanders Imaginators,Platform,PS4,0.43m,0.18m,0.18m,N/A,0.07m
Skylanders Imaginators,Platform,X360,0.29m,0.14m,0.12m,N/A,0.02m
Skylanders Imaginators,Platform,PS3,0.28m,0.08m,0.16m,N/A,0.04m
Skylanders Imaginators,Platform,XOne,0.27m,0.19m,0.05m,N/A,0.03m
Skylanders Imaginators,Platform,NS,0.23m,0.10m,0.10m,N/A,0.02m
Call of Duty: Black Ops 3,Shooter,PS4,15.09m,6.18m,6.05m,0.41m,2.44m
Call of Duty: Black Ops 3,Shooter,XOne,7.37m,4.63m,2.04m,0.02m,0.68m
Call of Duty: Black Ops 3,Shooter,X360,2.01m,1.36m,0.47m,N/A,0.19m
Call of Duty: Black Ops 3,Shooter,PS3,1.95m,0.65m,0.92m,0.07m,0.30m
Call of Duty: Black Ops 3,Shooter,PC,0.30m,N/A,0.28m,N/A,0.02m
Spyro: Enter the Dragonfly,Platform,PS2,1.97m,0.74m,0.95m,N/A,0.28m
Boom Blox,Puzzle,Wii,1.21m,0.71m,0.38m,0.00m,0.12m
Scarface: The World is Yours,Adventure,PS2,1.19m,0.99m,0.04m,N/A,0.16m
Scarface: The World is Yours,Adventure,Wii,0.14m,0.12m,0.01m,N/A,0.01m
Scarface: The World is Yours,Adventure,PC,0.04m,0.01m,0.02m,N/A,0.00m
PGR4 - Project Gotham Racing 4,Racing,X360,2.04m,0.48m,1.28m,0.02m,0.25m
Ben 10 Omniverse 2,Fighting,X360,0.01m,N/A,0.01m,N/A,0.00m
Ben 10 Omniverse 2,Fighting,Wii,0.00m,0.00m,0.00m,N/A,0.00m
Ben 10 Omniverse 2,Fighting,WiiU,0.00m,0.00m,N/A,N/A,0.00m
Ben 10 Omniverse 2,Fighting,PS3,0.00m,0.00m,N/A,N/A,0.00m
Child of Light,Role-Playing,PS4,0.05m,N/A,0.01m,0.04m,0.00m
Child of Light,Role-Playing,PC,0.01m,N/A,0.01m,N/A,0.00m
Child of Light,Role-Playing,X360,N/A,N/A,N/A,N/A,N/A
Child of Light,Role-Playing,XOne,N/A,N/A,N/A,N/A,N/A
Child of Light,Role-Playing,PS3,N/A,N/A,N/A,N/A,N/A
Child of Light,Role-Playing,WiiU,N/A,N/A,N/A,N/A,N/A
Child of Light,Role-Playing,NS,N/A,N/A,N/A,N/A,N/A
Madden NFL 16,Sports,PS4,3.30m,2.39m,0.31m,N/A,0.61m
Madden NFL 16,Sports,XOne,2.47m,2.13m,0.08m,N/A,0.26m
Madden NFL 16,Sports,X360,1.01m,0.88m,0.02m,N/A,0.11m
Madden NFL 16,Sports,PS3,0.81m,0.60m,0.07m,N/A,0.15m
The Elder Scrolls Online: Greymoor,MMO,PC,N/A,N/A,N/A,N/A,N/A
The Elder Scrolls Online: Greymoor,MMO,PS4,N/A,N/A,N/A,N/A,N/A
The Elder Scrolls Online: Greymoor,MMO,XOne,N/A,N/A,N/A,N/A,N/A
The Elder Scrolls IV: Oblivion,Role-Playing,X360,4.47m,2.89m,1.03m,0.13m,0.41m
The Elder Scrolls IV: Oblivion,Role-Playing,PS3,3.12m,1.69m,0.86m,0.14m,0.44m
The Elder Scrolls IV: Oblivion,Role-Playing,PC,0.25m,0.01m,0.21m,N/A,0.04m
Super Bomberman R,Puzzle,NS,0.87m,0.31m,0.32m,0.19m,0.06m
Super Bomberman R,Puzzle,PS4,0.06m,0.03m,N/A,0.03m,0.01m
Super Bomberman R,Puzzle,XOne,0.03m,0.03m,N/A,N/A,0.00m
Just Cause 3,Action-Adventure,PS4,1.98m,0.53m,1.07m,0.09m,0.30m
Just Cause 3,Action-Adventure,XOne,1.01m,0.52m,0.41m,N/A,0.09m
Just Cause 3,Action-Adventure,PC,0.16m,0.03m,0.12m,N/A,0.01m
Horizon: Zero Dawn,Action-Adventure,PS4,5.82m,2.20m,2.43m,0.28m,0.92m
Horizon: Zero Dawn,Action-Adventure,PC,N/A,N/A,N/A,N/A,N/A
X-Men Legends,Role-Playing,PS2,1.93m,1.00m,0.72m,N/A,0.21m
Mario Tennis: Power Tour,Sports,WiiU,N/A,N/A,N/A,N/A,N/A
Grand Theft Auto: Liberty City Stories,Action,PS2,3.54m,1.56m,1.40m,0.07m,0.50m
Mortal Kombat: Deception,Fighting,PS2,1.88m,0.92m,0.72m,N/A,0.24m
The Legend of Zelda: Skyward Sword,Adventure,Wii,3.96m,2.03m,1.18m,0.37m,0.39m
Gears of War: Ultimate Edition,Shooter,XOne,3.62m,2.88m,0.37m,N/A,0.37m
Gran Turismo 4,Racing,PS2,11.66m,3.01m,0.01m,1.10m,7.53m
Halo 3,Shooter,X360,12.13m,7.97m,2.81m,0.13m,1.21m
Fire Emblem: Shadow Dragon,Role-Playing,WiiU,N/A,N/A,N/A,N/A,N/A
Sid Meier's Civilization Revolution,Strategy,X360,0.83m,0.58m,0.17m,0.00m,0.07m
Sid Meier's Civilization Revolution,Strategy,PS3,0.78m,0.49m,0.19m,0.01m,0.09m
A World of Keflings,Simulation,WiiU,N/A,N/A,N/A,N/A,N/A
Kinect: Disneyland Adventures,Action-Adventure,X360,2.41m,1.73m,0.43m,0.02m,0.23m
Tetris Effect,Puzzle,PS4,0.25m,0.19m,0.01m,0.01m,0.05m
Tetris Effect,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
Overcooked! All You Can Eat,Party,PC,N/A,N/A,N/A,N/A,N/A
Overcooked! All You Can Eat,Party,NS,N/A,N/A,N/A,N/A,N/A
Overcooked! All You Can Eat,Party,PS5,N/A,N/A,N/A,N/A,N/A
Overcooked! All You Can Eat,Party,XOne,N/A,N/A,N/A,N/A,N/A
Overcooked! All You Can Eat,Party,PS4,N/A,N/A,N/A,N/A,N/A
Mass Effect 2,Role-Playing,X360,3.10m,1.99m,0.81m,0.03m,0.27m
Mass Effect 2,Role-Playing,PS3,1.46m,0.78m,0.46m,0.03m,0.18m
Mass Effect 2,Role-Playing,PC,0.39m,0.01m,0.32m,N/A,0.05m
Bonkies,Party,PS4,N/A,N/A,N/A,N/A,N/A
Bonkies,Party,XOne,N/A,N/A,N/A,N/A,N/A
Bonkies,Party,NS,N/A,N/A,N/A,N/A,N/A
Bonkies,Party,PC,N/A,N/A,N/A,N/A,N/A
Star Wars Battlefront II,Shooter,PS2,3.59m,2.18m,1.02m,0.03m,0.37m
Star Wars Battlefront II,Shooter,PC,0.18m,0.03m,0.14m,N/A,0.02m
Guitar Hero III: Legends of Rock,Misc,PS2,4.98m,3.49m,0.01m,0.01m,1.48m
Guitar Hero III: Legends of Rock,Misc,Wii,4.60m,3.04m,1.12m,0.00m,0.44m
Guitar Hero III: Legends of Rock,Misc,X360,4.53m,3.19m,0.91m,0.01m,0.42m
Guitar Hero III: Legends of Rock,Misc,PS3,2.25m,1.40m,0.53m,0.02m,0.30m
Guitar Hero III: Legends of Rock,Misc,PC,0.02m,0.02m,N/A,N/A,0.00m
Elite: Dangerous,Simulation,PS4,0.19m,0.06m,0.10m,N/A,0.03m
Elite: Dangerous,Simulation,XOne,0.08m,0.07m,N/A,N/A,0.01m
Elite: Dangerous,Simulation,PC,N/A,N/A,N/A,N/A,N/A
Thrillville: Off the Rails,Strategy,Wii,0.44m,0.38m,0.02m,N/A,0.03m
Thrillville: Off the Rails,Strategy,PS2,0.42m,0.20m,0.16m,N/A,0.05m
Thrillville: Off the Rails,Strategy,X360,0.16m,0.13m,0.02m,N/A,0.01m
Thrillville: Off the Rails,Strategy,PC,0.00m,N/A,0.00m,N/A,0.00m
Gran Turismo 5,Racing,PS3,10.75m,2.96m,4.87m,0.81m,2.10m
Skylanders Giants,Misc,Wii,2.58m,1.49m,0.86m,N/A,0.23m
Skylanders Giants,Misc,X360,1.32m,0.76m,0.44m,N/A,0.12m
Skylanders Giants,Misc,PS3,1.07m,0.38m,0.52m,N/A,0.18m
Skylanders Giants,Misc,WiiU,0.39m,0.23m,0.13m,N/A,0.04m
Tumblestone,Puzzle,PS4,0.03m,0.02m,N/A,N/A,0.01m
Tumblestone,Puzzle,WiiU,0.02m,0.02m,N/A,N/A,0.00m
Tumblestone,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
Tumblestone,Puzzle,NS,N/A,N/A,N/A,N/A,N/A
Fight Night Round 4,Fighting,PS3,1.52m,0.92m,0.40m,N/A,0.20m
Fight Night Round 4,Fighting,X360,1.40m,0.95m,0.33m,N/A,0.13m
Nobunaga's Ambition: Taishi,Strategy,PS4,0.06m,0.01m,N/A,0.05m,0.00m
Nobunaga's Ambition: Taishi,Strategy,NS,0.01m,N/A,N/A,0.01m,N/A
Dunamis 15,Visual Novel,PS3,0.02m,N/A,N/A,0.02m,N/A
Dunamis 15,Visual Novel,X360,0.02m,N/A,N/A,0.02m,N/A
Shadow of the Colossus,Action-Adventure,PS4,1.20m,0.44m,0.52m,0.05m,0.19m
Shadow of the Colossus,Adventure,PS2,1.14m,0.78m,0.03m,0.20m,0.13m
Shadow of the Colossus,Adventure,PS3,0.04m,N/A,N/A,0.04m,N/A
Just Dance,Misc,Wii,7.21m,3.48m,2.99m,N/A,0.73m
Mario Kart DS,Racing,WiiU,N/A,N/A,N/A,N/A,N/A
Star Wars: Jedi Starfighter,Simulation,PS2,0.50m,0.24m,0.19m,N/A,0.06m
Knowledge is Power,Party,PS4,0.61m,0.05m,0.47m,N/A,0.09m
How to Train Your Dragon 2,Action-Adventure,Wii,0.19m,0.04m,0.14m,N/A,0.01m
How to Train Your Dragon 2,Action-Adventure,X360,0.18m,0.06m,0.10m,N/A,0.01m
How to Train Your Dragon 2,Action-Adventure,PS3,0.10m,0.03m,0.06m,N/A,0.02m
How to Train Your Dragon 2,Action-Adventure,WiiU,0.08m,0.03m,0.05m,N/A,0.01m
The Urbz: Sims in the City,Simulation,PS2,1.76m,0.52m,0.95m,N/A,0.29m
Just Dance Wii 2,Music,Wii,0.29m,N/A,N/A,0.29m,N/A
Sonic Riders,Racing,PS2,0.50m,0.42m,0.02m,N/A,0.07m
Sonic Riders,Racing,PC,0.00m,N/A,0.00m,N/A,0.00m
Prince of Persia: Warrior Within,Adventure,PS2,1.64m,0.54m,0.88m,N/A,0.22m
Prince of Persia: Warrior Within,Adventure,PC,0.00m,N/A,0.00m,N/A,0.00m
Metal Gear Solid 4: Guns of the Patriots,Action-Adventure,PS3,6.00m,2.63m,1.72m,0.83m,0.81m
Sleeping Dogs,Action-Adventure,PS3,1.04m,0.31m,0.50m,0.05m,0.17m
Sleeping Dogs,Action-Adventure,X360,0.87m,0.38m,0.40m,0.01m,0.08m
Sleeping Dogs,Action-Adventure,PC,0.12m,0.06m,0.05m,N/A,0.01m
Dance Central 2,Music,X360,2.04m,1.45m,0.41m,0.01m,0.16m
Metroid: Other M,Action,Wii,1.36m,0.85m,0.28m,0.13m,0.10m
Metroid: Other M,Action-Adventure,WiiU,N/A,N/A,N/A,N/A,N/A
Scooby-Doo! Night of 100 Frights,Platform,PS2,2.10m,1.17m,0.72m,N/A,0.22m
Plants vs. Zombies,Strategy,X360,0.27m,0.24m,N/A,N/A,0.02m
Plants vs. Zombies,Strategy,PS3,0.21m,0.18m,N/A,N/A,0.03m
Plants vs. Zombies,Strategy,PC,0.05m,N/A,0.04m,N/A,0.00m
Plants vs. Zombies,Misc,PS3,N/A,N/A,N/A,N/A,N/A
Plants vs. Zombies,Misc,X360,N/A,N/A,N/A,N/A,N/A
The Elder Scrolls Online: Tamriel Unlimited,MMO,PS4,2.05m,0.74m,0.98m,N/A,0.33m
The Elder Scrolls Online: Tamriel Unlimited,MMO,XOne,1.38m,0.86m,0.39m,N/A,0.13m
The Elder Scrolls Online: Tamriel Unlimited,MMO,PC,N/A,N/A,N/A,N/A,N/A
Mobile Suit Gundam: Crossfire,Simulation,PS3,0.20m,0.06m,0.00m,0.14m,0.01m
Star Wars: Knights of the Old Republic,Role-Playing,PC,0.14m,0.01m,0.11m,N/A,0.02m
Farming Simulator 2015,Simulation,PC,1.10m,0.09m,0.94m,N/A,0.07m
Farming Simulator 2015,Simulation,PS3,0.42m,0.13m,0.22m,N/A,0.07m
Farming Simulator 2015,Simulation,PS4,0.41m,0.13m,0.22m,N/A,0.07m
Farming Simulator 2015,Simulation,X360,0.40m,0.24m,0.12m,N/A,0.04m
Farming Simulator 2015,Simulation,XOne,0.24m,0.13m,0.09m,N/A,0.02m
